academic_year,legacy,gender,campus_visit_date_exists,gpa_points,est_household_income_rank,IMP_ZIP_MILES_FROM_CAMPUS,leadsource_code,minority,IMP_SCHOOL_TYPE,IMP_ZIP_MEDIAN_INCOME_2,ACCEPTED,ACTIVE_PAID,miles_norm,gpa_norm,income_rank_norm,zip_rank_norm
2020,1,Male,1,0,5,53,IRB,1,Public,63242,1,1,0.011904761904761904,0.0,0.36363636363636365,0.3535549923859722
2020,1,Male,1,2,6,89,IRA,0,Public,61078,1,0,0.020146520146520148,0.2,0.45454545454545453,0.34139502475261435
2020,1,Female,1,3,4,59,ISA,0,IndependentNotReligious,51576,1,1,0.013278388278388278,0.3,0.2727272727272727,0.2880013036564191
2020,0,Male,0,1,6,327,ISA,0,Public,62063,1,1,0.07463369963369963,0.1,0.45454545454545453,0.3469299453250993
2020,0,Male,1,6,4,851,ICV,0,Public,34631,1,1,0.1945970695970696,0.6,0.2727272727272727,0.1927838121835683
2020,1,Male,1,9,6,327,IRA,0,Public,62063,1,0,0.07463369963369963,0.9,0.45454545454545453,0.3469299453250993
2020,0,Female,1,7,6,196,ISC,0,Public,116459,1,1,0.044642857142857144,0.7,0.45454545454545453,0.6525924219351431
2020,0,Male,1,2,5,106,ISA,0,Public,42248,1,1,0.02403846153846154,0.2,0.36363636363636365,0.23558532487455117
2020,1,Male,1,1,6,327,ICV,1,Public,62063,1,1,0.07463369963369963,0.1,0.45454545454545453,0.3469299453250993
2020,0,Female,1,10,10,1029,ISA,0,Public,103068,1,1,0.23534798534798534,1.0,0.8181818181818182,0.5773455981928625
2020,1,Male,1,3,5,1,ISA,1,IndependentNotReligious,55444,1,1,0.0,0.3,0.36363636363636365,0.30973640291974086
2020,0,Male,1,2,5,28,ICV,0,Public,44720,1,1,0.006181318681318681,0.2,0.36363636363636365,0.24947600878844242
2020,0,Male,1,10,7,920,ISA,0,IndependentNotReligious,68663,1,0,0.2103937728937729,1.0,0.5454545454545454,0.38401672276510024
2020,0,Male,1,9,6,40,IRB,1,Public,116894,1,1,0.008928571428571428,0.9,0.45454545454545453,0.6550367777209614
2020,0,Female,0,10,5,211,ICM,0,Public,43588,1,0,0.04807692307692308,1.0,0.36363636363636365,0.24311506453661194
2020,1,Male,1,2,5,1,IRA,0,Public,55444,1,0,0.0,0.2,0.36363636363636365,0.30973640291974086
2020,1,Female,1,10,6,45,IRA,0,IndependentNotReligious,78388,1,1,0.010073260073260074,1.0,0.45454545454545453,0.43866352740207126
2020,0,Male,1,3,7,79,ISH,0,IndependentNotReligious,48597,1,0,0.017857142857142856,0.3,0.5454545454545454,0.2712616809300914
2020,1,Male,1,10,12,48,ICV,0,IndependentNotReligious,99802,1,0,0.01076007326007326,1.0,1.0,0.558993262568765
2020,1,Female,1,9,6,171,IRB,0,IndependentNotReligious,75782,1,1,0.03891941391941392,0.9,0.45454545454545453,0.4240198695219739
2020,1,Female,1,6,12,98,ISC,0,Public,51170,1,1,0.022206959706959708,0.6,1.0,0.28571990492298877
2020,0,Male,1,9,6,95,ISA,0,Public,70818,1,1,0.02152014652014652,0.9,0.45454545454545453,0.3961261175201308
2020,0,Male,1,2,8,45,IRB,0,IndependentNotReligious,82954,1,1,0.010073260073260074,0.2,0.6363636363636364,0.46432083434010823
2020,0,Male,1,8,5,48,ITW,0,Public,99802,1,1,0.01076007326007326,0.8,0.36363636363636365,0.558993262568765
2020,0,Female,1,0,7,93,ICV,0,Public,89708,1,0,0.021062271062271064,0.0,0.5454545454545454,0.5022729699203758
2020,0,Male,1,6,7,87,ICM,0,Public,51314,1,1,0.019688644688644688,0.6,0.5454545454545454,0.28652907097622515
2020,0,Male,1,10,10,41,ISH,0,Public,77588,1,0,0.009157509157509158,1.0,0.8181818181818182,0.4341681604396469
2020,0,Female,1,7,10,327,ICV,0,Public,62063,1,1,0.07463369963369963,0.7,0.8181818181818182,0.3469299453250993
2020,0,Female,1,9,5,96,ICV,0,Public,51265,1,0,0.021749084249084248,0.9,0.36363636363636365,0.28625372974977664
2020,1,Male,1,4,7,68,IND,0,Public,43806,1,1,0.015338827838827838,0.4,0.5454545454545454,0.2443400520338726
2020,1,Male,1,10,8,1028,IRB,0,Public,106001,1,1,0.23511904761904762,1.0,0.6363636363636364,0.5938267373188507
2020,1,Male,1,9,8,50,ISC,0,IndependentNotReligious,50524,1,1,0.011217948717948718,0.9,0.6363636363636364,0.2820898961008311
2020,1,Female,1,10,8,226,IRB,0,Public,82197,1,1,0.05151098901098901,1.0,0.6363636363636364,0.4600670933519142
2020,0,Female,1,10,6,79,IOC,0,OtherIndependentReligious,61137,1,0,0.017857142857142856,1.0,0.45454545454545453,0.34172655806609314
2020,0,Male,1,4,8,54,ICV,0,Public,105579,1,1,0.012133699633699634,0.4,0.6363636363636364,0.591455431246172
2020,1,Male,1,10,8,40,ISA,0,Public,116894,1,1,0.008928571428571428,1.0,0.6363636363636364,0.6550367777209614
2020,0,Female,1,9,7,149,ICV,0,Public,84534,1,1,0.03388278388278388,0.9,0.5454545454545454,0.47319918409089634
2020,1,Female,1,10,12,46,ICV,0,IndependentNotReligious,107915,1,1,0.010302197802197802,1.0,1.0,0.6045819027764511
2020,0,Male,1,4,5,47,ICV,0,Public,51599,1,1,0.010531135531135532,0.4,0.36363636363636365,0.2881305454565888
2020,0,Female,1,10,6,57,ICV,0,Public,73416,1,1,0.01282051282051282,1.0,0.45454545454545453,0.4107248217306039
2020,0,Female,1,2,7,1035,ITW,0,IndependentNotReligious,71300,1,0,0.2367216117216117,0.2,0.5454545454545454,0.3988345761149915
2020,0,Male,1,10,7,267,ICV,0,IndependentNotReligious,75715,1,0,0.060897435897435896,1.0,0.5454545454545454,0.42364338253887085
2020,0,Male,1,9,8,369,ISH,0,Public,60053,1,0,0.08424908424908426,0.9,0.6363636363636364,0.33563533583200816
2020,1,Female,1,7,7,218,ICV,0,Public,83717,1,0,0.049679487179487176,0.7,0.5454545454545454,0.46860829058052045
2020,1,Female,1,10,5,1017,ICV,0,Public,72019,1,1,0.2326007326007326,1.0,0.36363636363636365,0.4028747871724704
2020,0,Male,1,0,5,57,ISH,0,IndependentNotReligious,65391,1,1,0.01282051282051282,0.0,0.36363636363636365,0.3656306718887846
2020,1,Female,1,3,4,327,ISA,0,Public,62063,1,1,0.07463369963369963,0.3,0.2727272727272727,0.3469299453250993
2020,0,Female,1,9,12,40,ISA,1,Public,116894,1,1,0.008928571428571428,0.9,1.0,0.6550367777209614
2020,0,Male,1,7,4,155,IAX,1,Public,49559,1,1,0.035256410256410256,0.7,0.2727272727272727,0.2766673597024067
2020,1,Female,1,10,6,62,ICM,0,Public,34609,1,1,0.013965201465201466,1.0,0.45454545454545453,0.19266018959210163
2020,1,Male,1,10,9,45,IRB,0,IndependentNotReligious,78388,1,1,0.010073260073260074,1.0,0.7272727272727273,0.43866352740207126
2020,1,Female,1,10,4,269,IRB,0,Public,53358,1,1,0.06135531135531135,1.0,0.2727272727272727,0.29801473356521935
2020,0,Female,1,10,4,1,ISH,0,IndependentNotReligious,55444,1,1,0.0,1.0,0.2727272727272727,0.30973640291974086
2020,1,Female,1,9,9,156,ITW,0,Public,57285,1,1,0.035485347985347984,0.9,0.7272727272727273,0.3200813661420199
2020,1,Female,1,10,7,1026,IRB,0,Other,77982,1,1,0.23466117216117216,1.0,0.5454545454545454,0.4363821286686409
2020,0,Female,1,10,11,161,IXC,0,Public,65715,1,1,0.03663003663003663,1.0,0.9090909090909091,0.3674512955085665
2020,0,Female,1,3,2,88,IRB,0,Public,60328,1,1,0.019917582417582416,0.3,0.09090909090909091,0.3371806182253415
2020,1,Male,1,2,5,72,IRB,0,Public,49718,1,1,0.016254578754578756,0.2,0.36363636363636365,0.27756081388618853
2020,1,Female,1,10,6,167,IND,0,Public,52053,1,1,0.038003663003663,1.0,0.45454545454545453,0.29068166620776464
